case_id,amount_at_risk,log_amount,case_age_at_decision_hours,diagnosis_category,diagnosis_confidence,risk_score,heuristic_recovery_probability,customer_success_rate,customer_success_count,customer_failure_count,previous_recovery_attempts,payment_method,bank,action_type,decision_score,decision_confidence,created_at,recovered,error_code,error_reason
e51ae9fe-abc0-461b-aad7-250f09feb248,10000.0,9.210440366976517,0.0,PAYMENT_METHOD_ISSUE,0.85,0.25,0.88,0.0,0,1,2,CARD,UNKNOWN,EMAIL_FOLLOWUP,0.836,0.88,2026-08-22T18:15:17.647928+00:00,1,,
0d172b24-19ca-4df5-8010-53a026f03436,5000.0,8.517393171418904,0.0,UNKNOWN,0.4,73.5,0.35,0.0,0,11,0,UPI,UNKNOWN,WAIT,0.75,0.7,2026-08-22T18:18:01.967740+00:00,0,BAD_REQUEST_ERROR,Customer bank server timed out.
syn_case_0000,25000.0,10.12667110305036,1.4777634790506162,PAYMENT_METHOD_ISSUE,0.9424774630404985,14.065852851773961,0.4279041292200138,0.22479561626896213,6,1,1,CARD,KOTAK,WHATSAPP_PAYMENT_RECOVERY,0.6636387385224852,0.7366809019706867,2026-08-22T18:38:41.273094+00:00,0,,
syn_case_0001,7500.0,8.922791623969637,11.556638670439451,USER_DROPOFF,0.7226516086332051,13.266596424953079,0.95,0.4198887773722044,3,3,1,UPI,HDFC,EMAIL_FOLLOWUP,0.779982053444764,0.8184829137724084,2026-08-22T18:38:41.273094+00:00,0,,
syn_case_0002,5000.0,8.517393171418904,21.40724345263106,USER_DROPOFF,0.7305095587111947,66.58781436815228,0.7399361310081195,0.8725056264596475,8,2,3,UPI,ICICI,SEND_PAYMENT_LINK,0.6606776287277202,0.7782121215146481,2026-08-22T18:38:41.273094+00:00,1,,
syn_case_0003,2500.0,7.824445930877619,45.126199724298985,INSUFFICIENT_FUNDS,0.9237068376069122,77.8709239435191,0.37083062502067227,0.24788356442042164,8,1,1,UPI,UNKNOWN,WHATSAPP_PAYMENT_RECOVERY,0.6685940018467008,0.7090454577821076,2026-08-22T18:38:41.273094+00:00,0,,
syn_case_0004,10000.0,9.210440366976517,20.611570333552557,INSUFFICIENT_FUNDS,0.7987203795438924,29.319942741578036,0.3656580076640715,0.5856273981493477,8,3,3,CARD,ICICI,EMAIL_FOLLOWUP,0.6049279379502795,0.739768480817761,2026-08-22T18:38:41.273094+00:00,1,,
syn_case_0005,5000.0,8.517393171418904,3.5190216385861226,PAYMENT_METHOD_ISSUE,0.7777455804289155,53.63086887792905,0.5486674594602834,0.7904827407004749,8,0,1,UPI,ICICI,WHATSAPP_PAYMENT_RECOVERY,0.8553621624183224,0.8275114942710426,2026-08-22T18:38:41.273094+00:00,1,,
syn_case_0006,5000.0,8.517393171418904,10.081662110931319,PAYMENT_METHOD_ISSUE,0.9239408989183798,26.518944382426902,0.688512424058269,0.6773836169318985,1,3,2,UPI,UNKNOWN,EMAIL_FOLLOWUP,0.7971464501917342,0.8391032172852255,2026-08-22T18:38:41.273598+00:00,1,,
syn_case_0007,10000.0,9.210440366976517,44.66063848627222,USER_DROPOFF,0.9020300948911042,30.282601703963763,0.733289244048893,0.1615839278630344,9,0,1,CARD,KOTAK,EMAIL_PAYMENT_RECOVERY,0.9050112065657012,0.8607344153798229,2026-08-22T18:38:41.273598+00:00,1,,
syn_case_0008,7500.0,8.922791623969637,25.869247420333494,PAYMENT_METHOD_ISSUE,0.8212074928397457,29.049257456924472,0.615061002676699,0.8254627532366032,1,2,1,UPI,AXIS,EMAIL_FOLLOWUP,0.6942943168294825,0.7488251044495549,2026-08-22T18:38:41.273598+00:00,1,,
syn_case_0009,5000.0,8.517393171418904,14.791719716296559,AUTHENTICATION_FAILURE,0.7712101235943669,27.62476070777549,0.49809272146319294,0.869957835953689,1,2,3,UPI,UNKNOWN,EMAIL_PAYMENT_RECOVERY,0.8133475168929638,0.8005358046457722,2026-08-22T18:38:41.273598+00:00,1,,
syn_case_0010,15000.0,9.61587214452889,11.787783339638985,AUTHENTICATION_FAILURE,0.8820540871529648,78.99553178774205,0.4767296838706404,0.49156220822205043,8,0,1,CARD,UNKNOWN,EMAIL_PAYMENT_RECOVERY,0.8213070407077527,0.826705942152179,2026-08-22T18:38:41.273598+00:00,0,,
syn_case_0011,5000.0,8.517393171418904,1.2879218740731673,AUTHENTICATION_FAILURE,0.8280232645748202,51.36250602317693,0.48502074225056413,0.13262011324381115,3,3,1,UPI,SBI,SEND_PAYMENT_LINK,0.8258104766433074,0.7348732858009983,2026-08-22T18:38:41.273598+00:00,0,,
syn_case_0012,1500.0,7.313886831633462,39.318054509557754,INSUFFICIENT_FUNDS,0.8388002028998656,74.7285532794994,0.4143254974231806,0.19077881699247126,1,1,1,CARD,SBI,EMAIL_FOLLOWUP,0.9486887949152735,0.8930838702577588,2026-08-22T18:38:41.273598+00:00,0,,
syn_case_0013,10000.0,9.210440366976517,37.54408842823713,PAYMENT_METHOD_ISSUE,0.8605079115385719,72.79771819668039,0.6556121798533965,0.6807645430961915,1,3,1,UPI,HDFC,RETRY_PAYMENT,0.8748692278898802,0.8337976509428457,2026-08-22T18:38:41.274127+00:00,0,,
syn_case_0014,15000.0,9.61587214452889,1.3585797717372412,AUTHENTICATION_FAILURE,0.8234734287958586,43.99296275103586,0.4150659043483281,0.3442910882755148,4,3,1,CARD,KOTAK,EMAIL_PAYMENT_RECOVERY,0.827371514666525,0.8698446820988356,2026-08-22T18:38:41.274697+00:00,1,,
syn_case_0015,1500.0,7.313886831633462,42.87221137091288,BANK_SERVER_DOWN,0.8577846564993157,78.11073883267119,0.49842850601475536,0.2951917147032669,2,0,1,CARD,UNKNOWN,EMAIL_PAYMENT_RECOVERY,0.7759229825868172,0.8153807769252718,2026-08-22T18:38:41.274697+00:00,1,,
syn_case_0016,1500.0,7.313886831633462,44.59513172291695,USER_DROPOFF,0.8070460370793285,22.39774755849343,0.777653721467415,0.6163778367257342,5,2,1,UPI,AXIS,EMAIL_PAYMENT_RECOVERY,0.9372669919812384,0.8706018910934721,2026-08-22T18:38:41.274697+00:00,1,,
syn_case_0017,25000.0,10.12667110305036,5.115883454111505,AUTHENTICATION_FAILURE,0.8537518066747924,58.72208576724811,0.5714000494092092,0.8489238193286248,6,2,1,UPI,ICICI,EMAIL_PAYMENT_RECOVERY,0.6490294053327834,0.8036659304727474,2026-08-22T18:38:41.274697+00:00,1,,
syn_case_0018,2500.0,7.824445930877619,24.788763945894544,AUTHENTICATION_FAILURE,0.8253790736717999,66.65528088349595,0.6304449119870852,0.33487347541159473,4,0,1,UPI,UNKNOWN,EMAIL_PAYMENT_RECOVERY,0.6248293209499747,0.7793567654427777,2026-08-22T18:38:41.274697+00:00,0,,
syn_case_0019,15000.0,9.61587214452889,41.369219369804576,BANK_SERVER_DOWN,0.7625628401289659,78.72886218173717,0.4257207490980107,0.22403329338219535,6,2,1,CARD,UNKNOWN,SEND_PAYMENT_LINK,0.726066724493942,0.7254121025303769,2026-08-22T18:38:41.274697+00:00,0,,
syn_case_0020,1500.0,7.313886831633462,6.805407556541066,BANK_SERVER_DOWN,0.9423842167785397,23.60660237964111,0.7663769789448251,0.7736184600095851,3,0,1,UPI,KOTAK,SEND_PAYMENT_LINK,0.739587315505678,0.7867041475161484,2026-08-22T18:38:41.274697+00:00,1,,
syn_case_0021,2500.0,7.824445930877619,7.930759526876587,USER_DROPOFF,0.7625607245411488,38.62670610899889,0.7260763568544893,0.6567793648749584,6,3,2,UPI,UNKNOWN,EMAIL_PAYMENT_RECOVERY,0.6640030989875575,0.886922799467942,2026-08-22T18:38:41.274697+00:00,1,,
syn_case_0022,1500.0,7.313886831633462,5.147122630922571,USER_DROPOFF,0.822903968779208,63.04922773250584,0.7443819428146228,0.3847781429210093,7,3,1,CARD,SBI,RETRY_PAYMENT,0.6606206544685053,0.7867703298475945,2026-08-22T18:38:41.275230+00:00,1,,
syn_case_0023,25000.0,10.12667110305036,31.78794750189989,USER_DROPOFF,0.7407336067703574,45.21953810060614,0.6774634053429337,0.6006879325713891,8,3,1,NETBANKING,AXIS,EMAIL_PAYMENT_RECOVERY,0.8248467473722104,0.7053022621083244,2026-08-22T18:38:41.275230+00:00,0,,
syn_case_0024,5000.0,8.517393171418904,10.317507094145405,BANK_SERVER_DOWN,0.7684902818302835,67.44476330207686,0.7137017418633458,0.7489633413888024,2,0,1,UPI,AXIS,SEND_PAYMENT_LINK,0.6330550362645749,0.8366013546832713,2026-08-22T18:38:41.275230+00:00,1,,
syn_case_0025,1500.0,7.313886831633462,17.045988711526874,USER_DROPOFF,0.9341620379639268,44.722621800538434,0.7446890144774068,0.3085556225887225,8,3,1,CARD,ICICI,WHATSAPP_PAYMENT_RECOVERY,0.7462811111004526,0.8935161103040495,2026-08-22T18:38:41.275230+00:00,1,,
syn_case_0026,7500.0,8.922791623969637,41.274605712543064,AUTHENTICATION_FAILURE,0.8072485068437545,36.04126600549482,0.4330797271818787,0.43009414152914116,7,0,3,CARD,SBI,EMAIL_PAYMENT_RECOVERY,0.6833826533413928,0.775545777235259,2026-08-22T18:38:41.275230+00:00,0,,
syn_case_0027,1500.0,7.313886831633462,17.35799654697923,AUTHENTICATION_FAILURE,0.9392002212816141,77.09790478182389,0.8661937317746775,0.14278823739789515,4,2,1,UPI,SBI,EMAIL_FOLLOWUP,0.7725589802201317,0.7166568822390519,2026-08-22T18:38:41.275230+00:00,1,,
syn_case_0028,10000.0,9.210440366976517,26.602621910377437,AUTHENTICATION_FAILURE,0.8103826253433442,65.27326999561878,0.49877532271530856,0.7332632349806788,7,0,2,CARD,KOTAK,EMAIL_PAYMENT_RECOVERY,0.7228202543932275,0.7234134032855212,2026-08-22T18:38:41.275230+00:00,1,,
syn_case_0029,7500.0,8.922791623969637,42.86510316689689,INSUFFICIENT_FUNDS,0.7366512054230063,25.580349229972136,0.21027456285141682,0.44087318003755294,5,1,2,CARD,KOTAK,WHATSAPP_PAYMENT_RECOVERY,0.9453238524754113,0.774854159151224,2026-08-22T18:38:41.275230+00:00,0,,
syn_case_0030,1500.0,7.313886831633462,12.314397335438677,AUTHENTICATION_FAILURE,0.7825631322547746,59.572683690823986,0.26604034363566015,0.38017459736025083,3,0,1,NETBANKING,HDFC,SEND_PAYMENT_LINK,0.6039737756685967,0.7937321283988252,2026-08-22T18:38:41.275230+00:00,0,,
syn_case_0031,2500.0,7.824445930877619,4.4373377804343255,USER_DROPOFF,0.8320925303243023,38.01560250104174,0.664846320137955,0.290005177033976,5,1,2,CARD,HDFC,WHATSAPP_PAYMENT_RECOVERY,0.8807382371593568,0.8955801337508542,2026-08-22T18:38:41.275746+00:00,1,,
syn_case_0032,10000.0,9.210440366976517,33.54806272676932,USER_DROPOFF,0.8136352661919433,48.76979990809245,0.8024510174258943,0.1590372517883191,5,1,3,UPI,KOTAK,EMAIL_PAYMENT_RECOVERY,0.804510009173085,0.8802316020981978,2026-08-22T18:38:41.275746+00:00,1,,
syn_case_0033,1500.0,7.313886831633462,22.525674234649152,INSUFFICIENT_FUNDS,0.7883380570065132,29.416682808679287,0.349799829124545,0.5961060782412294,2,3,1,NETBANKING,UNKNOWN,RETRY_PAYMENT,0.6272071229377447,0.8948789615332333,2026-08-22T18:38:41.275746+00:00,1,,
syn_case_0034,5000.0,8.517393171418904,41.638034751269394,AUTHENTICATION_FAILURE,0.7113046675265473,21.38318575414239,0.46797667929793574,0.6477849380431034,7,3,2,UPI,KOTAK,WHATSAPP_PAYMENT_RECOVERY,0.7317621784073174,0.8621106661563666,2026-08-22T18:38:41.275746+00:00,0,,
syn_case_0035,25000.0,10.12667110305036,20.203926361039095,USER_DROPOFF,0.7683517679826766,68.68300932977965,0.7831458765854353,0.773695138508567,7,1,3,CARD,HDFC,EMAIL_PAYMENT_RECOVERY,0.8421000390091191,0.8068692550058926,2026-08-22T18:38:41.275746+00:00,1,,
syn_case_0036,10000.0,9.210440366976517,29.293295136416802,USER_DROPOFF,0.7571607013758657,27.314367122023835,0.5932379570617405,0.7797179125419292,1,3,3,CARD,KOTAK,RETRY_PAYMENT,0.8163448841602635,0.7716325436065681,2026-08-22T18:38:41.275746+00:00,0,,
syn_case_0037,25000.0,10.12667110305036,42.14104612627139,INSUFFICIENT_FUNDS,0.8008707165530993,48.633478714213986,0.2857620514978706,0.7817452002548321,7,2,1,UPI,SBI,WHATSAPP_PAYMENT_RECOVERY,0.8746338923805084,0.8278722713948485,2026-08-22T18:38:41.275746+00:00,0,,
syn_case_0038,5000.0,8.517393171418904,37.7235181052043,BANK_SERVER_DOWN,0.7991356955803175,40.62324454166104,0.47305931655554423,0.41379523607978586,7,1,1,NETBANKING,ICICI,EMAIL_PAYMENT_RECOVERY,0.9018272980613607,0.8899041247315285,2026-08-22T18:38:41.275746+00:00,0,,
syn_case_0039,7500.0,8.922791623969637,10.433712576229423,AUTHENTICATION_FAILURE,0.8449124836179346,53.45639790954639,0.8217542255795962,0.13668901312370638,3,2,1,UPI,AXIS,EMAIL_FOLLOWUP,0.6451079026687272,0.7256091677915545,2026-08-22T18:38:41.275746+00:00,1,,
syn_case_0040,25000.0,10.12667110305036,8.524415495927816,BANK_SERVER_DOWN,0.7696475847579896,56.7290416964719,0.6053316529309333,0.4791693122102979,6,0,2,UPI,HDFC,EMAIL_FOLLOWUP,0.792050358222593,0.8068847007465045,2026-08-22T18:38:41.275746+00:00,1,,
syn_case_0041,7500.0,8.922791623969637,4.383554017571416,INSUFFICIENT_FUNDS,0.9183946560266942,65.95872792363298,0.35243286520313977,0.13144971187287915,1,1,2,UPI,ICICI,EMAIL_PAYMENT_RECOVERY,0.9039053874624554,0.7169034015361363,2026-08-22T18:38:41.276256+00:00,0,,
syn_case_0042,5000.0,8.517393171418904,24.80467850049414,INSUFFICIENT_FUNDS,0.8330283713163289,12.567824202341853,0.38514020923788284,0.6979767505070053,2,1,1,CARD,UNKNOWN,EMAIL_PAYMENT_RECOVERY,0.7239513347775939,0.7794327665008165,2026-08-22T18:38:41.276256+00:00,0,,
syn_case_0043,1500.0,7.313886831633462,16.789026053217363,BANK_SERVER_DOWN,0.818492485357639,47.473489481086645,0.5012064154203458,0.17136346296964494,3,0,2,UPI,HDFC,WHATSAPP_PAYMENT_RECOVERY,0.77445476962517,0.7173840576174847,2026-08-22T18:38:41.276256+00:00,1,,
syn_case_0044,25000.0,10.12667110305036,29.27430391945214,AUTHENTICATION_FAILURE,0.7593066979339986,55.214206893212086,0.20862224197316437,0.39046583711890814,6,0,1,CARD,ICICI,WHATSAPP_PAYMENT_RECOVERY,0.6535006987145162,0.7491915456769016,2026-08-22T18:38:41.276256+00:00,0,,
syn_case_0045,7500.0,8.922791623969637,27.859924845768848,AUTHENTICATION_FAILURE,0.9293489032713829,79.8078874337876,0.6941284578060475,0.6575691698931372,6,1,1,UPI,SBI,SEND_PAYMENT_LINK,0.6902659894657289,0.7341775174780132,2026-08-22T18:38:41.276256+00:00,0,,
syn_case_0046,5000.0,8.517393171418904,12.014462289716311,INSUFFICIENT_FUNDS,0.7287092061848008,23.093062399026635,0.22367408434574831,0.7155943465535496,6,0,1,CARD,ICICI,SEND_PAYMENT_LINK,0.7771363847257714,0.8864028684513868,2026-08-22T18:38:41.276256+00:00,0,,
syn_case_0047,10000.0,9.210440366976517,4.673735284026199,AUTHENTICATION_FAILURE,0.734706193360505,24.12113236311651,0.5695117899335481,0.5391375839111818,9,0,1,UPI,ICICI,EMAIL_FOLLOWUP,0.6408436224495885,0.7946332402103784,2026-08-22T18:38:41.276256+00:00,0,,
syn_case_0048,15000.0,9.61587214452889,40.48686689601792,AUTHENTICATION_FAILURE,0.7349430941565723,61.1607232642551,0.55865897874729,0.1994377787884358,9,0,3,NETBANKING,AXIS,EMAIL_FOLLOWUP,0.6705695620167106,0.7327311885731409,2026-08-22T18:38:41.276256+00:00,0,,
syn_case_0049,10000.0,9.210440366976517,21.967558561704365,PAYMENT_METHOD_ISSUE,0.8784456137138315,51.18146730565397,0.48443227646079207,0.35295726583719567,3,0,3,CARD,ICICI,EMAIL_PAYMENT_RECOVERY,0.7054822559574497,0.8495218760352502,2026-08-22T18:38:41.276256+00:00,0,,
syn_case_0050,25000.0,10.12667110305036,38.21619649033906,AUTHENTICATION_FAILURE,0.8550181889821283,53.69665971397944,0.4021413754220159,0.8251776887716376,4,1,1,NETBANKING,ICICI,EMAIL_FOLLOWUP,0.9128624040678351,0.8577194422449061,2026-08-22T18:38:41.276765+00:00,1,,
syn_case_0051,15000.0,9.61587214452889,16.748883064005604,USER_DROPOFF,0.9053143261680032,63.37210800184834,0.814375404320693,0.5559117478970532,4,0,1,UPI,HDFC,WHATSAPP_PAYMENT_RECOVERY,0.6446210318161938,0.7794574581120735,2026-08-22T18:38:41.276765+00:00,0,,
syn_case_0052,10000.0,9.210440366976517,39.77294432093122,USER_DROPOFF,0.9397686986410069,51.89098908436589,0.95,0.10976245785443561,8,1,2,UPI,AXIS,EMAIL_FOLLOWUP,0.6795728440604955,0.7847193724840966,2026-08-22T18:38:41.276765+00:00,1,,
syn_case_0053,2500.0,7.824445930877619,5.355101550696981,BANK_SERVER_DOWN,0.9296876305651866,60.82669102436805,0.551701573011796,0.30481242548292975,5,3,1,NETBANKING,UNKNOWN,RETRY_PAYMENT,0.6080579116756731,0.8302734421976492,2026-08-22T18:38:41.276765+00:00,0,,
syn_case_0054,1500.0,7.313886831633462,40.34765910618187,INSUFFICIENT_FUNDS,0.7311656703008167,74.78979590347434,0.45103951797414193,0.8474936118152119,9,0,2,UPI,SBI,EMAIL_FOLLOWUP,0.9044637267217448,0.8037676114252144,2026-08-22T18:38:41.276765+00:00,0,,
syn_case_0055,25000.0,10.12667110305036,26.026291139551336,AUTHENTICATION_FAILURE,0.9299639041031901,33.344942018380095,0.5374213079900352,0.1037056184036823,2,2,2,CARD,ICICI,EMAIL_FOLLOWUP,0.7214336206636797,0.8475002496219497,2026-08-22T18:38:41.276765+00:00,1,,
syn_case_0056,1500.0,7.313886831633462,10.602337256208248,PAYMENT_METHOD_ISSUE,0.8287934206017031,21.585932219958167,0.6781696583829251,0.5621055632732378,1,3,1,UPI,SBI,EMAIL_FOLLOWUP,0.7606461458059546,0.8114610737780096,2026-08-22T18:38:41.276765+00:00,1,,
syn_case_0057,15000.0,9.61587214452889,17.09588245484332,USER_DROPOFF,0.8170579571103448,39.87522337357245,0.7905887611490504,0.4178544923660783,1,0,1,UPI,HDFC,EMAIL_PAYMENT_RECOVERY,0.7322040816040593,0.8673129626584666,2026-08-22T18:38:41.276765+00:00,0,,
syn_case_0058,5000.0,8.517393171418904,4.086409780684738,PAYMENT_METHOD_ISSUE,0.8883115551868627,44.79083641748743,0.5643467910055923,0.4848703587100688,3,1,1,UPI,ICICI,EMAIL_PAYMENT_RECOVERY,0.7843024633307528,0.8601499542972242,2026-08-22T18:38:41.277276+00:00,1,,
syn_case_0059,25000.0,10.12667110305036,28.764826535769977,INSUFFICIENT_FUNDS,0.7848178114740477,23.727916978541696,0.22382962621214486,0.30311085123464343,5,2,1,NETBANKING,HDFC,EMAIL_PAYMENT_RECOVERY,0.910611168879726,0.8113443169566732,2026-08-22T18:38:41.277276+00:00,0,,
syn_case_0060,2500.0,7.824445930877619,39.32856918257594,PAYMENT_METHOD_ISSUE,0.785454337924469,30.520341118270927,0.33302208279316,0.26398743633265676,2,2,2,NETBANKING,AXIS,SEND_PAYMENT_LINK,0.8066032298801826,0.7536127281645753,2026-08-22T18:38:41.277276+00:00,0,,
syn_case_0061,10000.0,9.210440366976517,27.374389448411623,AUTHENTICATION_FAILURE,0.9463418280604337,64.58311423516216,0.7764686934262719,0.879637812159096,7,3,1,UPI,AXIS,EMAIL_PAYMENT_RECOVERY,0.6637374985875542,0.7969556734300692,2026-08-22T18:38:41.277276+00:00,1,,
syn_case_0062,1500.0,7.313886831633462,1.3735571360046699,INSUFFICIENT_FUNDS,0.9285747016401247,78.90815264924865,0.1711552620242675,0.7679441894394393,5,1,1,CARD,HDFC,EMAIL_PAYMENT_RECOVERY,0.8017807664299887,0.7548110441374412,2026-08-22T18:38:41.277276+00:00,0,,
syn_case_0063,1500.0,7.313886831633462,28.877122353089643,INSUFFICIENT_FUNDS,0.8501292151084133,73.00130492936736,0.4600817422254052,0.20950850405504584,9,0,1,CARD,KOTAK,EMAIL_FOLLOWUP,0.6613799475182073,0.882882389184992,2026-08-22T18:38:41.277276+00:00,0,,
